,Id,Charger_type,Available,Total,timestamp
0,11514,CCS DC 150kW (ultra),4,4,20220427 - 233014
1,12320,CCS DC 150kW (ultra),2,4,20220427 - 233019
2,12949,CCS DC 150kW (ultra),12,16,20220427 - 233024
3,12950,CCS DC 150kW (ultra),7,8,20220427 - 233015
4,10000034,CCS DC 175kW (ultra),0,2,20220427 - 233023
5,10000034,CHAdeMO DC 75kW (fast),0,1,20220427 - 233024
6,10000034,CHAdeMO DC 175kW (ultra),0,1,20220427 - 233024
7,10000035,CCS DC 270kW (ultra),8,8,20220427 - 233029
8,10000035,CHAdeMO DC 62.5kW (fast),4,4,20220427 - 233029
9,10000035,Type 2 AC 7.36kW (regular),0,1,20220427 - 233029
10,10000036,CCS DC 175kW (ultra),3,4,20220427 - 233014
11,10000036,CHAdeMO DC 75kW (fast),3,4,20220427 - 233014
12,10000037,CCS DC 175kW (ultra),2,2,20220427 - 233020
13,10000037,CHAdeMO DC 75kW (fast),2,2,20220427 - 233020
14,10000038,CCS DC 175kW (ultra),2,2,20220427 - 233025
15,10000038,CHAdeMO DC 75kW (fast),2,2,20220427 - 233025
16,10000039,CCS DC 175kW (ultra),4,4,20220427 - 233018
17,10000039,CHAdeMO DC 75kW (fast),4,4,20220427 - 233018
18,10000040,CCS DC 175kW (ultra),3,3,20220427 - 233024
19,10000040,CHAdeMO DC 75kW (fast),3,3,20220427 - 233024
20,10000041,CCS DC 175kW (ultra),2,3,20220427 - 233029
21,10000041,CHAdeMO DC 75kW (fast),2,3,20220427 - 233029
22,10000042,CCS DC 175kW (ultra),1,3,20220427 - 233013
23,10000042,CHAdeMO DC 75kW (fast),1,3,20220427 - 233013
24,10000043,CCS DC 175kW (ultra),4,4,20220427 - 233018
25,10000043,CHAdeMO DC 75kW (fast),4,4,20220427 - 233018
26,10000044,CCS DC 175kW (ultra),4,4,20220427 - 233024
27,10000044,CHAdeMO DC 75kW (fast),4,4,20220427 - 233024
28,10000045,CCS DC 150kW (ultra),0,2,20220427 - 233014
29,10000045,Type 2 AC 7.36kW (regular),0,1,20220427 - 233014
30,10000047,CCS DC 175kW (ultra),4,4,20220427 - 233019
31,10000047,CHAdeMO DC 75kW (fast),4,4,20220427 - 233019
32,10000049,CCS DC 175kW (ultra),4,4,20220427 - 233024
33,10000049,CHAdeMO DC 75kW (fast),4,4,20220427 - 233024
34,10000086,CCS DC 175kW (ultra),4,4,20220427 - 233026
35,10000086,CHAdeMO DC 175kW (ultra),4,4,20220427 - 233026
36,10000086,CCS DC 175kW (ultra),4,4,20220427 - 233026
37,10000086,CHAdeMO DC 175kW (ultra),4,4,20220427 - 233026
38,10000257,CCS DC 175kW (ultra),1,1,20220427 - 233030
39,10000257,CHAdeMO DC 75kW (fast),1,1,20220427 - 233030
