,Id,Charger_type,Available,Total,timestamp
0,11514,CCS DC 150kW (ultra),3,4,20220429 - 190015
1,12320,CCS DC 150kW (ultra),1,4,20220429 - 190023
2,12949,CCS DC 150kW (ultra),10,16,20220429 - 190028
3,12950,CCS DC 150kW (ultra),3,8,20220429 - 190012
4,10000034,CCS DC 175kW (ultra),1,2,20220429 - 190018
5,10000034,CHAdeMO DC 75kW (fast),1,1,20220429 - 190018
6,10000034,CHAdeMO DC 175kW (ultra),0,1,20220429 - 190018
7,10000035,CCS DC 270kW (ultra),0,8,20220429 - 190025
8,10000035,CHAdeMO DC 62.5kW (fast),2,4,20220429 - 190026
9,10000035,Type 2 AC 7.36kW (regular),0,1,20220429 - 190026
10,10000036,CCS DC 175kW (ultra),1,4,20220429 - 190013
11,10000036,CHAdeMO DC 75kW (fast),1,4,20220429 - 190013
12,10000037,CCS DC 175kW (ultra),1,2,20220429 - 190018
13,10000037,CHAdeMO DC 75kW (fast),1,2,20220429 - 190018
14,10000038,CCS DC 175kW (ultra),0,2,20220429 - 190028
15,10000038,CHAdeMO DC 75kW (fast),0,2,20220429 - 190028
16,10000039,CCS DC 175kW (ultra),2,4,20220429 - 190012
17,10000039,CHAdeMO DC 75kW (fast),2,4,20220429 - 190012
18,10000040,CCS DC 175kW (ultra),3,3,20220429 - 190017
19,10000040,CHAdeMO DC 75kW (fast),3,3,20220429 - 190017
20,10000041,CCS DC 175kW (ultra),2,3,20220429 - 190024
21,10000041,CHAdeMO DC 75kW (fast),2,3,20220429 - 190024
22,10000042,CCS DC 175kW (ultra),1,3,20220429 - 190018
23,10000042,CHAdeMO DC 75kW (fast),1,3,20220429 - 190018
24,10000043,CCS DC 175kW (ultra),3,4,20220429 - 190024
25,10000043,CHAdeMO DC 75kW (fast),3,4,20220429 - 190024
26,10000044,CCS DC 175kW (ultra),4,4,20220429 - 190029
27,10000044,CHAdeMO DC 75kW (fast),4,4,20220429 - 190029
28,10000045,CCS DC 150kW (ultra),0,2,20220429 - 190014
29,10000045,Type 2 AC 7.36kW (regular),0,1,20220429 - 190014
30,10000047,CCS DC 175kW (ultra),4,4,20220429 - 190024
31,10000047,CHAdeMO DC 75kW (fast),4,4,20220429 - 190024
32,10000049,CCS DC 175kW (ultra),4,4,20220429 - 190032
33,10000049,CHAdeMO DC 75kW (fast),4,4,20220429 - 190032
34,10000086,CCS DC 175kW (ultra),4,4,20220429 - 190017
35,10000086,CHAdeMO DC 175kW (ultra),4,4,20220429 - 190017
36,10000086,CCS DC 175kW (ultra),4,4,20220429 - 190017
37,10000086,CHAdeMO DC 175kW (ultra),4,4,20220429 - 190017
38,10000257,CCS DC 175kW (ultra),1,1,20220429 - 190022
39,10000257,CHAdeMO DC 75kW (fast),1,1,20220429 - 190022
