,Id,Charger_type,Available,Total,timestamp
0,11514,CCS DC 150kW (ultra),4,4,20220401 - 051020
1,12320,CCS DC 150kW (ultra),4,4,20220401 - 051025
2,12949,CCS DC 150kW (ultra),13,16,20220401 - 051029
3,12950,CCS DC 150kW (ultra),7,8,20220401 - 051014
4,10000034,CCS DC 175kW (ultra),2,2,20220401 - 051025
5,10000034,CHAdeMO DC 75kW (fast),1,1,20220401 - 051025
6,10000034,CHAdeMO DC 175kW (ultra),1,1,20220401 - 051025
7,10000035,CCS DC 270kW (ultra),3,7,20220401 - 051031
8,10000035,CHAdeMO DC 62.5kW (fast),3,4,20220401 - 051031
9,10000035,Type 2 AC 7.36kW (regular),0,1,20220401 - 051031
10,10000036,CCS DC 175kW (ultra),4,4,20220401 - 051014
11,10000036,CHAdeMO DC 75kW (fast),4,4,20220401 - 051014
12,10000037,CCS DC 175kW (ultra),1,2,20220401 - 051019
13,10000037,CHAdeMO DC 75kW (fast),1,2,20220401 - 051019
14,10000038,CCS DC 175kW (ultra),2,2,20220401 - 051026
15,10000038,CHAdeMO DC 75kW (fast),2,2,20220401 - 051026
16,10000039,CCS DC 175kW (ultra),4,4,20220401 - 051015
17,10000039,CHAdeMO DC 75kW (fast),4,4,20220401 - 051015
18,10000040,CCS DC 175kW (ultra),3,3,20220401 - 051023
19,10000040,CHAdeMO DC 75kW (fast),3,3,20220401 - 051023
20,10000041,CCS DC 175kW (ultra),4,4,20220401 - 051029
21,10000041,CHAdeMO DC 75kW (fast),4,4,20220401 - 051029
22,10000042,CCS DC 175kW (ultra),3,3,20220401 - 051015
23,10000042,CHAdeMO DC 75kW (fast),3,3,20220401 - 051015
24,10000043,CCS DC 175kW (ultra),3,3,20220401 - 051020
25,10000043,CHAdeMO DC 75kW (fast),3,3,20220401 - 051020
26,10000044,CCS DC 175kW (ultra),4,4,20220401 - 051025
27,10000044,CHAdeMO DC 75kW (fast),4,4,20220401 - 051025
28,10000045,CCS DC 150kW (ultra),0,2,20220401 - 051014
29,10000045,Type 2 AC 7.36kW (regular),0,1,20220401 - 051014
30,10000047,CCS DC 175kW (ultra),4,4,20220401 - 051020
31,10000047,CHAdeMO DC 75kW (fast),4,4,20220401 - 051020
32,10000049,CCS DC 175kW (ultra),4,4,20220401 - 051026
33,10000049,CHAdeMO DC 75kW (fast),4,4,20220401 - 051026
34,10000086,CCS DC 175kW (ultra),4,4,20220401 - 051020
35,10000086,CHAdeMO DC 175kW (ultra),4,4,20220401 - 051020
36,10000086,CCS DC 175kW (ultra),4,4,20220401 - 051020
37,10000086,CHAdeMO DC 175kW (ultra),4,4,20220401 - 051020
38,10000257,CCS DC 175kW (ultra),0,1,20220401 - 051027
39,10000257,CHAdeMO DC 75kW (fast),0,1,20220401 - 051028
