,Id,Charger_type,Available,Total,timestamp
0,11514,CCS DC 150kW (ultra),4,4,20220405 - 053013
1,12320,CCS DC 150kW (ultra),4,4,20220405 - 053018
2,12949,CCS DC 150kW (ultra),15,16,20220405 - 053027
3,12950,CCS DC 150kW (ultra),7,8,20220405 - 053015
4,10000034,CCS DC 175kW (ultra),2,2,20220405 - 053020
5,10000034,CHAdeMO DC 75kW (fast),1,1,20220405 - 053020
6,10000034,CHAdeMO DC 175kW (ultra),1,1,20220405 - 053020
7,10000035,CCS DC 270kW (ultra),5,7,20220405 - 053027
8,10000035,CHAdeMO DC 62.5kW (fast),3,4,20220405 - 053027
9,10000035,Type 2 AC 7.36kW (regular),0,1,20220405 - 053027
10,10000036,CCS DC 175kW (ultra),3,4,20220405 - 053013
11,10000036,CHAdeMO DC 75kW (fast),3,4,20220405 - 053013
12,10000037,CCS DC 175kW (ultra),2,2,20220405 - 053018
13,10000037,CHAdeMO DC 75kW (fast),2,2,20220405 - 053018
14,10000038,CCS DC 175kW (ultra),2,2,20220405 - 053023
15,10000038,CHAdeMO DC 75kW (fast),2,2,20220405 - 053023
16,10000039,CCS DC 175kW (ultra),4,4,20220405 - 053013
17,10000039,CHAdeMO DC 75kW (fast),4,4,20220405 - 053013
18,10000040,CCS DC 175kW (ultra),3,3,20220405 - 053020
19,10000040,CHAdeMO DC 75kW (fast),3,3,20220405 - 053020
20,10000041,CCS DC 175kW (ultra),4,4,20220405 - 053025
21,10000041,CHAdeMO DC 75kW (fast),4,4,20220405 - 053025
22,10000042,CCS DC 175kW (ultra),3,3,20220405 - 053013
23,10000042,CHAdeMO DC 75kW (fast),3,3,20220405 - 053013
24,10000043,,,,20220405 - 053013
25,10000044,CCS DC 175kW (ultra),4,4,20220405 - 053029
26,10000044,CHAdeMO DC 75kW (fast),4,4,20220405 - 053029
27,10000045,CCS DC 150kW (ultra),0,2,20220405 - 053011
28,10000045,Type 2 AC 7.36kW (regular),0,1,20220405 - 053011
29,10000047,CCS DC 175kW (ultra),4,4,20220405 - 053016
30,10000047,CHAdeMO DC 75kW (fast),4,4,20220405 - 053017
31,10000049,CCS DC 175kW (ultra),4,4,20220405 - 053022
32,10000049,CHAdeMO DC 75kW (fast),4,4,20220405 - 053022
33,10000086,CCS DC 175kW (ultra),4,4,20220405 - 053019
34,10000086,CHAdeMO DC 175kW (ultra),4,4,20220405 - 053019
35,10000086,CCS DC 175kW (ultra),4,4,20220405 - 053019
36,10000086,CHAdeMO DC 175kW (ultra),4,4,20220405 - 053019
37,10000257,CCS DC 175kW (ultra),1,1,20220405 - 053024
38,10000257,CHAdeMO DC 75kW (fast),1,1,20220405 - 053024
