,Id,Charger_type,Available,Total,timestamp
0,11514,CCS DC 150kW (ultra),2,4,20220401 - 082018
1,12320,CCS DC 150kW (ultra),1,4,20220401 - 082023
2,12949,CCS DC 150kW (ultra),8,16,20220401 - 082028
3,12950,CCS DC 150kW (ultra),6,8,20220401 - 082018
4,10000034,CCS DC 175kW (ultra),2,2,20220401 - 082025
5,10000034,CHAdeMO DC 75kW (fast),1,1,20220401 - 082025
6,10000034,CHAdeMO DC 175kW (ultra),1,1,20220401 - 082025
7,10000035,CCS DC 270kW (ultra),1,7,20220401 - 082030
8,10000035,CHAdeMO DC 62.5kW (fast),2,4,20220401 - 082030
9,10000035,Type 2 AC 7.36kW (regular),0,1,20220401 - 082031
10,10000036,CCS DC 175kW (ultra),1,4,20220401 - 082017
11,10000036,CHAdeMO DC 75kW (fast),1,4,20220401 - 082017
12,10000037,CCS DC 175kW (ultra),1,2,20220401 - 082021
13,10000037,CHAdeMO DC 75kW (fast),1,2,20220401 - 082022
14,10000038,CCS DC 175kW (ultra),0,2,20220401 - 082029
15,10000038,CHAdeMO DC 75kW (fast),0,2,20220401 - 082029
16,10000039,CCS DC 175kW (ultra),4,4,20220401 - 082018
17,10000039,CHAdeMO DC 75kW (fast),4,4,20220401 - 082018
18,10000040,CCS DC 175kW (ultra),3,3,20220401 - 082024
19,10000040,CHAdeMO DC 75kW (fast),3,3,20220401 - 082024
20,10000041,CCS DC 175kW (ultra),4,4,20220401 - 082029
21,10000041,CHAdeMO DC 75kW (fast),4,4,20220401 - 082029
22,10000042,CCS DC 175kW (ultra),3,3,20220401 - 082018
23,10000042,CHAdeMO DC 75kW (fast),3,3,20220401 - 082018
24,10000043,CCS DC 175kW (ultra),3,3,20220401 - 082025
25,10000043,CHAdeMO DC 75kW (fast),3,3,20220401 - 082025
26,10000044,CCS DC 175kW (ultra),4,4,20220401 - 082031
27,10000044,CHAdeMO DC 75kW (fast),4,4,20220401 - 082031
28,10000045,CCS DC 150kW (ultra),0,2,20220401 - 082019
29,10000045,Type 2 AC 7.36kW (regular),0,1,20220401 - 082019
30,10000047,CCS DC 175kW (ultra),4,4,20220401 - 082025
31,10000047,CHAdeMO DC 75kW (fast),4,4,20220401 - 082025
32,10000049,CCS DC 175kW (ultra),3,4,20220401 - 082030
33,10000049,CHAdeMO DC 75kW (fast),3,4,20220401 - 082031
34,10000086,CCS DC 175kW (ultra),4,4,20220401 - 082028
35,10000086,CHAdeMO DC 175kW (ultra),4,4,20220401 - 082028
36,10000086,CCS DC 175kW (ultra),4,4,20220401 - 082028
37,10000086,CHAdeMO DC 175kW (ultra),4,4,20220401 - 082028
38,10000257,CCS DC 175kW (ultra),0,1,20220401 - 082032
39,10000257,CHAdeMO DC 75kW (fast),0,1,20220401 - 082032
