,Id,Charger_type,Available,Total,timestamp
0,11514,CCS DC 150kW (ultra),3,4,20220526 - 164021
1,12320,CCS DC 150kW (ultra),0,4,20220526 - 164030
2,12949,CCS DC 150kW (ultra),10,16,20220526 - 164039
3,12950,CCS DC 150kW (ultra),4,8,20220526 - 164021
4,10000034,CCS DC 175kW (ultra),1,2,20220526 - 164029
5,10000034,CHAdeMO DC 75kW (fast),1,1,20220526 - 164030
6,10000034,CHAdeMO DC 175kW (ultra),0,1,20220526 - 164030
7,10000035,CCS DC 235kW (ultra),4,10,20220526 - 164039
8,10000035,CHAdeMO DC 62.5kW (fast),2,2,20220526 - 164039
9,10000035,Type 2 AC 7.36kW (regular),0,1,20220526 - 164039
10,10000036,CCS DC 175kW (ultra),3,4,20220526 - 164021
11,10000036,CHAdeMO DC 75kW (fast),3,4,20220526 - 164021
12,10000037,CCS DC 175kW (ultra),2,2,20220526 - 164029
13,10000037,CHAdeMO DC 75kW (fast),2,2,20220526 - 164030
14,10000038,CCS DC 175kW (ultra),0,2,20220526 - 164039
15,10000038,CHAdeMO DC 75kW (fast),0,2,20220526 - 164039
16,10000039,CCS DC 175kW (ultra),3,4,20220526 - 164021
17,10000039,CHAdeMO DC 75kW (fast),3,4,20220526 - 164021
18,10000040,CCS DC 175kW (ultra),2,3,20220526 - 164030
19,10000040,CHAdeMO DC 75kW (fast),2,3,20220526 - 164030
20,10000041,CCS DC 175kW (ultra),1,3,20220526 - 164039
21,10000041,CHAdeMO DC 75kW (fast),1,3,20220526 - 164039
22,10000042,CCS DC 175kW (ultra),1,3,20220526 - 164021
23,10000042,CHAdeMO DC 75kW (fast),1,3,20220526 - 164021
24,10000043,CCS DC 175kW (ultra),2,4,20220526 - 164029
25,10000043,CHAdeMO DC 75kW (fast),2,4,20220526 - 164030
26,10000044,CCS DC 175kW (ultra),2,4,20220526 - 164039
27,10000044,CHAdeMO DC 75kW (fast),2,4,20220526 - 164039
28,10000045,CCS DC 150kW (ultra),0,2,20220526 - 164021
29,10000045,Type 2 AC 7.36kW (regular),0,1,20220526 - 164021
30,10000047,CCS DC 175kW (ultra),3,4,20220526 - 164030
31,10000047,CHAdeMO DC 75kW (fast),3,4,20220526 - 164030
32,10000049,CCS DC 175kW (ultra),4,4,20220526 - 164039
33,10000049,CHAdeMO DC 75kW (fast),4,4,20220526 - 164039
34,10000086,CCS DC 175kW (ultra),3,4,20220526 - 164029
35,10000086,CHAdeMO DC 175kW (ultra),3,4,20220526 - 164030
36,10000086,CCS DC 175kW (ultra),3,4,20220526 - 164029
37,10000086,CHAdeMO DC 175kW (ultra),3,4,20220526 - 164030
38,10000257,CCS DC 175kW (ultra),0,1,20220526 - 164039
39,10000257,CHAdeMO DC 75kW (fast),0,1,20220526 - 164039
