,Id,Charger_type,Available,Total,timestamp
0,11514,CCS DC 150kW (ultra),3,4,20220510 - 123013
1,12320,CCS DC 150kW (ultra),2,4,20220510 - 123018
2,12949,CCS DC 150kW (ultra),11,16,20220510 - 123025
3,12950,CCS DC 150kW (ultra),6,8,20220510 - 123010
4,10000034,CCS DC 175kW (ultra),1,2,20220510 - 123016
5,10000034,CHAdeMO DC 75kW (fast),0,1,20220510 - 123016
6,10000034,CHAdeMO DC 175kW (ultra),1,1,20220510 - 123016
7,10000035,CCS DC 270kW (ultra),3,8,20220510 - 123023
8,10000035,CHAdeMO DC 62.5kW (fast),3,4,20220510 - 123023
9,10000035,Type 2 AC 7.36kW (regular),0,1,20220510 - 123023
10,10000036,CCS DC 175kW (ultra),1,4,20220510 - 123020
11,10000036,CHAdeMO DC 75kW (fast),1,4,20220510 - 123020
12,10000037,CCS DC 175kW (ultra),0,2,20220510 - 123025
13,10000037,CHAdeMO DC 75kW (fast),0,2,20220510 - 123026
14,10000038,CCS DC 175kW (ultra),0,2,20220510 - 123029
15,10000038,CHAdeMO DC 75kW (fast),0,2,20220510 - 123029
16,10000039,CCS DC 175kW (ultra),3,4,20220510 - 123017
17,10000039,CHAdeMO DC 75kW (fast),3,4,20220510 - 123017
18,10000040,CCS DC 175kW (ultra),3,3,20220510 - 123024
19,10000040,CHAdeMO DC 75kW (fast),3,3,20220510 - 123024
20,10000041,CCS DC 175kW (ultra),2,3,20220510 - 123029
21,10000041,CHAdeMO DC 75kW (fast),2,3,20220510 - 123029
22,10000042,CCS DC 175kW (ultra),3,3,20220510 - 123011
23,10000042,CHAdeMO DC 75kW (fast),3,3,20220510 - 123011
24,10000043,CCS DC 175kW (ultra),4,4,20220510 - 123016
25,10000043,CHAdeMO DC 75kW (fast),4,4,20220510 - 123016
26,10000044,CCS DC 175kW (ultra),3,4,20220510 - 123025
27,10000044,CHAdeMO DC 75kW (fast),3,4,20220510 - 123025
28,10000045,CCS DC 150kW (ultra),0,2,20220510 - 123012
29,10000045,Type 2 AC 7.36kW (regular),0,1,20220510 - 123012
30,10000047,CCS DC 175kW (ultra),1,4,20220510 - 123017
31,10000047,CHAdeMO DC 75kW (fast),1,4,20220510 - 123017
32,10000049,CCS DC 175kW (ultra),4,4,20220510 - 123022
33,10000049,CHAdeMO DC 75kW (fast),4,4,20220510 - 123022
34,10000086,CCS DC 175kW (ultra),4,4,20220510 - 123019
35,10000086,CHAdeMO DC 175kW (ultra),4,4,20220510 - 123019
36,10000086,CCS DC 175kW (ultra),4,4,20220510 - 123019
37,10000086,CHAdeMO DC 175kW (ultra),4,4,20220510 - 123019
38,10000257,CCS DC 175kW (ultra),1,1,20220510 - 123024
39,10000257,CHAdeMO DC 75kW (fast),1,1,20220510 - 123024
