,Id,Charger_type,Available,Total,timestamp
0,11514,CCS DC 150kW (ultra),2,4,20220524 - 091020
1,12320,CCS DC 150kW (ultra),1,4,20220524 - 091043
2,12949,CCS DC 150kW (ultra),9,16,20220524 - 091102
3,12950,CCS DC 150kW (ultra),7,8,20220524 - 091020
4,10000034,CCS DC 175kW (ultra),0,2,20220524 - 091044
5,10000034,CHAdeMO DC 75kW (fast),0,1,20220524 - 091045
6,10000034,CHAdeMO DC 175kW (ultra),0,1,20220524 - 091046
7,10000035,CCS DC 270kW (ultra),2,6,20220524 - 091103
8,10000035,CHAdeMO DC 62.5kW (fast),2,2,20220524 - 091104
9,10000035,Type 2 AC 7.36kW (regular),0,1,20220524 - 091104
10,10000036,CCS DC 175kW (ultra),2,4,20220524 - 091020
11,10000036,CHAdeMO DC 75kW (fast),2,4,20220524 - 091020
12,10000037,CCS DC 175kW (ultra),1,2,20220524 - 091043
13,10000037,CHAdeMO DC 75kW (fast),1,2,20220524 - 091044
14,10000038,CCS DC 175kW (ultra),0,2,20220524 - 091103
15,10000038,CHAdeMO DC 75kW (fast),0,2,20220524 - 091103
16,10000039,CCS DC 175kW (ultra),4,4,20220524 - 091020
17,10000039,CHAdeMO DC 75kW (fast),4,4,20220524 - 091025
18,10000040,CCS DC 175kW (ultra),2,3,20220524 - 091043
19,10000040,CHAdeMO DC 75kW (fast),2,3,20220524 - 091044
20,10000041,CCS DC 175kW (ultra),2,3,20220524 - 091103
21,10000041,CHAdeMO DC 75kW (fast),2,3,20220524 - 091103
22,10000042,CCS DC 175kW (ultra),1,3,20220524 - 091027
23,10000042,CHAdeMO DC 75kW (fast),1,3,20220524 - 091027
24,10000043,CCS DC 175kW (ultra),4,4,20220524 - 091044
25,10000043,CHAdeMO DC 75kW (fast),4,4,20220524 - 091045
26,10000044,CCS DC 175kW (ultra),4,4,20220524 - 091103
27,10000044,CHAdeMO DC 75kW (fast),4,4,20220524 - 091103
28,10000045,CCS DC 150kW (ultra),0,2,20220524 - 091019
29,10000045,Type 2 AC 7.36kW (regular),0,1,20220524 - 091020
30,10000047,,,,20220524 - 091020
31,10000049,CCS DC 175kW (ultra),4,4,20220524 - 091103
32,10000049,CHAdeMO DC 75kW (fast),4,4,20220524 - 091103
33,10000086,CCS DC 175kW (ultra),4,4,20220524 - 091043
34,10000086,CHAdeMO DC 175kW (ultra),4,4,20220524 - 091044
35,10000086,CCS DC 175kW (ultra),4,4,20220524 - 091043
36,10000086,CHAdeMO DC 175kW (ultra),4,4,20220524 - 091044
37,10000257,CCS DC 175kW (ultra),1,1,20220524 - 091103
38,10000257,CHAdeMO DC 75kW (fast),1,1,20220524 - 091103
