,Id,Charger_type,Available,Total,timestamp
0,11514,CCS DC 150kW (ultra),2,4,20220424 - 092026
1,12320,CCS DC 150kW (ultra),0,4,20220424 - 092047
2,12949,CCS DC 150kW (ultra),6,16,20220424 - 092107
3,12950,CCS DC 150kW (ultra),7,8,20220424 - 092026
4,10000034,CCS DC 175kW (ultra),1,2,20220424 - 092047
5,10000034,CHAdeMO DC 75kW (fast),0,1,20220424 - 092047
6,10000034,CHAdeMO DC 175kW (ultra),1,1,20220424 - 092047
7,10000035,CCS DC 270kW (ultra),3,8,20220424 - 092107
8,10000035,CHAdeMO DC 62.5kW (fast),3,4,20220424 - 092107
9,10000035,Type 2 AC 7.36kW (regular),0,1,20220424 - 092108
10,10000036,CCS DC 175kW (ultra),2,4,20220424 - 092026
11,10000036,CHAdeMO DC 75kW (fast),2,4,20220424 - 092027
12,10000037,CCS DC 175kW (ultra),2,2,20220424 - 092047
13,10000037,CHAdeMO DC 75kW (fast),2,2,20220424 - 092047
14,10000038,CCS DC 175kW (ultra),0,2,20220424 - 092105
15,10000038,CHAdeMO DC 75kW (fast),0,2,20220424 - 092107
16,10000039,CCS DC 175kW (ultra),4,4,20220424 - 092026
17,10000039,CHAdeMO DC 75kW (fast),4,4,20220424 - 092027
18,10000040,CCS DC 175kW (ultra),3,3,20220424 - 092047
19,10000040,CHAdeMO DC 75kW (fast),3,3,20220424 - 092047
20,10000041,CCS DC 175kW (ultra),2,3,20220424 - 092105
21,10000041,CHAdeMO DC 75kW (fast),2,3,20220424 - 092107
22,10000042,CCS DC 175kW (ultra),2,3,20220424 - 092026
23,10000042,CHAdeMO DC 75kW (fast),2,3,20220424 - 092030
24,10000043,CCS DC 175kW (ultra),4,4,20220424 - 092048
25,10000043,CHAdeMO DC 75kW (fast),4,4,20220424 - 092050
26,10000044,CCS DC 175kW (ultra),3,4,20220424 - 092107
27,10000044,CHAdeMO DC 75kW (fast),3,4,20220424 - 092108
28,10000045,CCS DC 150kW (ultra),0,2,20220424 - 092026
29,10000045,Type 2 AC 7.36kW (regular),0,1,20220424 - 092027
30,10000047,CCS DC 175kW (ultra),4,4,20220424 - 092047
31,10000047,CHAdeMO DC 75kW (fast),4,4,20220424 - 092047
32,10000049,CCS DC 175kW (ultra),4,4,20220424 - 092105
33,10000049,CHAdeMO DC 75kW (fast),4,4,20220424 - 092107
34,10000086,CCS DC 175kW (ultra),4,4,20220424 - 092047
35,10000086,CHAdeMO DC 175kW (ultra),4,4,20220424 - 092047
36,10000086,CCS DC 175kW (ultra),4,4,20220424 - 092047
37,10000086,CHAdeMO DC 175kW (ultra),4,4,20220424 - 092047
38,10000257,CCS DC 175kW (ultra),0,1,20220424 - 092105
39,10000257,CHAdeMO DC 75kW (fast),0,1,20220424 - 092107
