,Id,Charger_type,Available,Total,timestamp
0,11514,CCS DC 150kW (ultra),4,4,20220421 - 060014
1,12320,CCS DC 150kW (ultra),3,4,20220421 - 060019
2,12949,CCS DC 150kW (ultra),7,16,20220421 - 060027
3,12950,CCS DC 150kW (ultra),7,8,20220421 - 060015
4,10000034,CCS DC 175kW (ultra),2,2,20220421 - 060020
5,10000034,CHAdeMO DC 75kW (fast),1,1,20220421 - 060021
6,10000034,CHAdeMO DC 175kW (ultra),1,1,20220421 - 060021
7,10000035,CCS DC 270kW (ultra),4,6,20220421 - 060026
8,10000035,CHAdeMO DC 62.5kW (fast),3,3,20220421 - 060027
9,10000035,Type 2 AC 7.36kW (regular),0,1,20220421 - 060027
10,10000036,CCS DC 175kW (ultra),4,4,20220421 - 060015
11,10000036,CHAdeMO DC 75kW (fast),4,4,20220421 - 060016
12,10000037,CCS DC 175kW (ultra),2,2,20220421 - 060022
13,10000037,CHAdeMO DC 75kW (fast),2,2,20220421 - 060023
14,10000038,CCS DC 175kW (ultra),1,2,20220421 - 060028
15,10000038,CHAdeMO DC 75kW (fast),1,2,20220421 - 060029
16,10000039,CCS DC 175kW (ultra),4,4,20220421 - 060017
17,10000039,CHAdeMO DC 75kW (fast),4,4,20220421 - 060017
18,10000040,CCS DC 175kW (ultra),3,3,20220421 - 060023
19,10000040,CHAdeMO DC 75kW (fast),3,3,20220421 - 060023
20,10000041,CCS DC 175kW (ultra),2,3,20220421 - 060029
21,10000041,CHAdeMO DC 75kW (fast),2,3,20220421 - 060029
22,10000042,CCS DC 175kW (ultra),2,3,20220421 - 060015
23,10000042,CHAdeMO DC 75kW (fast),2,3,20220421 - 060015
24,10000043,CCS DC 175kW (ultra),4,4,20220421 - 060023
25,10000043,CHAdeMO DC 75kW (fast),4,4,20220421 - 060023
26,10000044,CCS DC 175kW (ultra),4,4,20220421 - 060030
27,10000044,CHAdeMO DC 75kW (fast),4,4,20220421 - 060030
28,10000045,CCS DC 150kW (ultra),0,2,20220421 - 060019
29,10000045,Type 2 AC 7.36kW (regular),0,1,20220421 - 060019
30,10000047,CCS DC 175kW (ultra),4,4,20220421 - 060027
31,10000047,CHAdeMO DC 75kW (fast),4,4,20220421 - 060027
32,10000049,CCS DC 175kW (ultra),4,4,20220421 - 060031
33,10000049,CHAdeMO DC 75kW (fast),4,4,20220421 - 060031
34,10000086,CCS DC 175kW (ultra),4,4,20220421 - 060019
35,10000086,CHAdeMO DC 175kW (ultra),4,4,20220421 - 060020
36,10000086,CCS DC 175kW (ultra),4,4,20220421 - 060019
37,10000086,CHAdeMO DC 175kW (ultra),4,4,20220421 - 060020
38,10000257,CCS DC 175kW (ultra),1,1,20220421 - 060024
39,10000257,CHAdeMO DC 75kW (fast),1,1,20220421 - 060024
