,Id,Charger_type,Available,Total,timestamp
0,11514,CCS DC 150kW (ultra),2,4,20220331 - 174017
1,12320,CCS DC 150kW (ultra),2,4,20220331 - 174025
2,12949,CCS DC 150kW (ultra),4,16,20220331 - 174030
3,12950,CCS DC 150kW (ultra),5,8,20220331 - 174013
4,10000034,CCS DC 175kW (ultra),1,2,20220331 - 174017
5,10000034,CHAdeMO DC 75kW (fast),0,1,20220331 - 174017
6,10000034,CHAdeMO DC 175kW (ultra),1,1,20220331 - 174017
7,10000035,CCS DC 270kW (ultra),1,7,20220331 - 174025
8,10000035,CHAdeMO DC 62.5kW (fast),0,4,20220331 - 174025
9,10000035,Type 2 AC 7.36kW (regular),0,1,20220331 - 174025
10,10000036,,,,20220331 - 174025
11,10000037,CCS DC 175kW (ultra),0,2,20220331 - 174026
12,10000037,CHAdeMO DC 75kW (fast),0,2,20220331 - 174026
13,10000038,CCS DC 175kW (ultra),0,2,20220331 - 174029
14,10000038,CHAdeMO DC 75kW (fast),0,2,20220331 - 174029
15,10000039,CCS DC 175kW (ultra),2,3,20220331 - 174015
16,10000039,CHAdeMO DC 75kW (fast),2,3,20220331 - 174015
17,10000040,CCS DC 175kW (ultra),3,3,20220331 - 174019
18,10000040,CHAdeMO DC 75kW (fast),3,3,20220331 - 174019
19,10000041,CCS DC 175kW (ultra),4,4,20220331 - 174025
20,10000041,CHAdeMO DC 75kW (fast),4,4,20220331 - 174025
21,10000042,CCS DC 175kW (ultra),1,3,20220331 - 174014
22,10000042,CHAdeMO DC 75kW (fast),1,3,20220331 - 174014
23,10000043,CCS DC 175kW (ultra),3,3,20220331 - 174019
24,10000043,CHAdeMO DC 75kW (fast),3,3,20220331 - 174019
25,10000044,CCS DC 175kW (ultra),3,4,20220331 - 174024
26,10000044,CHAdeMO DC 75kW (fast),3,4,20220331 - 174024
27,10000045,CCS DC 150kW (ultra),0,2,20220331 - 174013
28,10000045,Type 2 AC 7.36kW (regular),0,1,20220331 - 174013
29,10000047,CCS DC 175kW (ultra),3,4,20220331 - 174017
30,10000047,CHAdeMO DC 75kW (fast),3,4,20220331 - 174017
31,10000049,CCS DC 175kW (ultra),4,4,20220331 - 174023
32,10000049,CHAdeMO DC 75kW (fast),4,4,20220331 - 174023
33,10000086,CCS DC 175kW (ultra),4,4,20220331 - 174020
34,10000086,CHAdeMO DC 175kW (ultra),4,4,20220331 - 174020
35,10000086,CCS DC 175kW (ultra),4,4,20220331 - 174020
36,10000086,CHAdeMO DC 175kW (ultra),4,4,20220331 - 174020
37,10000257,CCS DC 175kW (ultra),0,1,20220331 - 174025
38,10000257,CHAdeMO DC 75kW (fast),0,1,20220331 - 174025
