,Id,Charger_type,Available,Total,timestamp
0,11514,CCS DC 150kW (ultra),1,4,20220418 - 112012
1,12320,CCS DC 150kW (ultra),0,4,20220418 - 112017
2,12949,CCS DC 150kW (ultra),9,16,20220418 - 112022
3,12950,CCS DC 150kW (ultra),3,8,20220418 - 112019
4,10000034,CCS DC 175kW (ultra),1,2,20220418 - 112025
5,10000034,CHAdeMO DC 75kW (fast),0,1,20220418 - 112025
6,10000034,CHAdeMO DC 175kW (ultra),1,1,20220418 - 112025
7,10000035,CCS DC 270kW (ultra),0,5,20220418 - 112029
8,10000035,CHAdeMO DC 62.5kW (fast),0,3,20220418 - 112029
9,10000035,Type 2 AC 7.36kW (regular),0,1,20220418 - 112029
10,10000036,CCS DC 175kW (ultra),0,4,20220418 - 112013
11,10000036,CHAdeMO DC 75kW (fast),0,4,20220418 - 112013
12,10000037,CCS DC 175kW (ultra),1,2,20220418 - 112018
13,10000037,CHAdeMO DC 75kW (fast),1,2,20220418 - 112019
14,10000038,CCS DC 175kW (ultra),1,2,20220418 - 112024
15,10000038,CHAdeMO DC 75kW (fast),1,2,20220418 - 112024
16,10000039,CCS DC 175kW (ultra),0,4,20220418 - 112015
17,10000039,CHAdeMO DC 75kW (fast),0,4,20220418 - 112015
18,10000040,CCS DC 175kW (ultra),3,3,20220418 - 112023
19,10000040,CHAdeMO DC 75kW (fast),3,3,20220418 - 112024
20,10000041,CCS DC 175kW (ultra),0,3,20220418 - 112029
21,10000041,CHAdeMO DC 75kW (fast),0,3,20220418 - 112029
22,10000042,CCS DC 175kW (ultra),2,3,20220418 - 112014
23,10000042,CHAdeMO DC 75kW (fast),2,3,20220418 - 112015
24,10000043,CCS DC 175kW (ultra),2,4,20220418 - 112022
25,10000043,CHAdeMO DC 75kW (fast),2,4,20220418 - 112022
26,10000044,CCS DC 175kW (ultra),4,4,20220418 - 112027
27,10000044,CHAdeMO DC 75kW (fast),4,4,20220418 - 112027
28,10000045,CCS DC 150kW (ultra),0,2,20220418 - 112013
29,10000045,Type 2 AC 7.36kW (regular),0,1,20220418 - 112013
30,10000047,CCS DC 175kW (ultra),3,4,20220418 - 112018
31,10000047,CHAdeMO DC 75kW (fast),3,4,20220418 - 112018
32,10000049,CCS DC 175kW (ultra),3,4,20220418 - 112023
33,10000049,CHAdeMO DC 75kW (fast),3,4,20220418 - 112023
34,10000086,CCS DC 175kW (ultra),4,4,20220418 - 112019
35,10000086,CHAdeMO DC 175kW (ultra),4,4,20220418 - 112020
36,10000086,CCS DC 175kW (ultra),4,4,20220418 - 112019
37,10000086,CHAdeMO DC 175kW (ultra),4,4,20220418 - 112020
38,10000257,CCS DC 175kW (ultra),0,1,20220418 - 112028
39,10000257,CHAdeMO DC 75kW (fast),0,1,20220418 - 112028
