,Id,Charger_type,Available,Total,timestamp
0,11514,CCS DC 150kW (ultra),4,4,20220426 - 233027
1,12320,CCS DC 150kW (ultra),4,4,20220426 - 233049
2,12949,,,,20220426 - 233049
3,12950,CCS DC 150kW (ultra),7,8,20220426 - 233027
4,10000034,CCS DC 175kW (ultra),2,2,20220426 - 233049
5,10000034,CHAdeMO DC 75kW (fast),1,1,20220426 - 233050
6,10000034,CHAdeMO DC 175kW (ultra),1,1,20220426 - 233050
7,10000035,CCS DC 270kW (ultra),8,8,20220426 - 233109
8,10000035,CHAdeMO DC 62.5kW (fast),4,4,20220426 - 233110
9,10000035,Type 2 AC 7.36kW (regular),0,1,20220426 - 233110
10,10000036,CCS DC 175kW (ultra),3,4,20220426 - 233027
11,10000036,CHAdeMO DC 75kW (fast),3,4,20220426 - 233030
12,10000037,CCS DC 175kW (ultra),2,2,20220426 - 233049
13,10000037,CHAdeMO DC 75kW (fast),2,2,20220426 - 233050
14,10000038,CCS DC 175kW (ultra),2,2,20220426 - 233109
15,10000038,CHAdeMO DC 75kW (fast),2,2,20220426 - 233109
16,10000039,CCS DC 175kW (ultra),4,4,20220426 - 233027
17,10000039,CHAdeMO DC 75kW (fast),4,4,20220426 - 233029
18,10000040,CCS DC 175kW (ultra),2,2,20220426 - 233049
19,10000040,CHAdeMO DC 75kW (fast),2,2,20220426 - 233050
20,10000041,CCS DC 175kW (ultra),2,3,20220426 - 233109
21,10000041,CHAdeMO DC 75kW (fast),2,3,20220426 - 233109
22,10000042,CCS DC 175kW (ultra),3,3,20220426 - 233027
23,10000042,CHAdeMO DC 75kW (fast),3,3,20220426 - 233030
24,10000043,CCS DC 175kW (ultra),4,4,20220426 - 233050
25,10000043,CHAdeMO DC 75kW (fast),4,4,20220426 - 233052
26,10000044,CCS DC 175kW (ultra),4,4,20220426 - 233109
27,10000044,CHAdeMO DC 75kW (fast),4,4,20220426 - 233110
28,10000045,CCS DC 150kW (ultra),0,2,20220426 - 233027
29,10000045,Type 2 AC 7.36kW (regular),0,1,20220426 - 233027
30,10000047,,,,20220426 - 233027
31,10000049,CCS DC 175kW (ultra),3,3,20220426 - 233108
32,10000049,CHAdeMO DC 75kW (fast),3,3,20220426 - 233109
33,10000086,CCS DC 175kW (ultra),3,3,20220426 - 233049
34,10000086,CHAdeMO DC 175kW (ultra),3,3,20220426 - 233050
35,10000086,CCS DC 175kW (ultra),3,3,20220426 - 233049
36,10000086,CHAdeMO DC 175kW (ultra),3,3,20220426 - 233050
37,10000257,CCS DC 175kW (ultra),1,1,20220426 - 233109
38,10000257,CHAdeMO DC 75kW (fast),1,1,20220426 - 233109
