,Id,Charger_type,Available,Total,timestamp
0,11514,CCS DC 150kW (ultra),2,4,20220402 - 221014
1,12320,CCS DC 150kW (ultra),1,4,20220402 - 221020
2,12949,CCS DC 150kW (ultra),9,16,20220402 - 221025
3,12950,CCS DC 150kW (ultra),7,8,20220402 - 221017
4,10000034,CCS DC 175kW (ultra),2,2,20220402 - 221022
5,10000034,CHAdeMO DC 75kW (fast),1,1,20220402 - 221023
6,10000034,CHAdeMO DC 175kW (ultra),1,1,20220402 - 221023
7,10000035,CCS DC 270kW (ultra),3,7,20220402 - 221028
8,10000035,CHAdeMO DC 62.5kW (fast),1,4,20220402 - 221028
9,10000035,Type 2 AC 7.36kW (regular),0,1,20220402 - 221028
10,10000036,CCS DC 175kW (ultra),2,4,20220402 - 221014
11,10000036,CHAdeMO DC 75kW (fast),2,4,20220402 - 221014
12,10000037,CCS DC 175kW (ultra),1,2,20220402 - 221019
13,10000037,CHAdeMO DC 75kW (fast),1,2,20220402 - 221019
14,10000038,CCS DC 175kW (ultra),0,2,20220402 - 221027
15,10000038,CHAdeMO DC 75kW (fast),0,2,20220402 - 221027
16,10000039,CCS DC 175kW (ultra),3,4,20220402 - 221014
17,10000039,CHAdeMO DC 75kW (fast),3,4,20220402 - 221014
18,10000040,CCS DC 175kW (ultra),3,3,20220402 - 221021
19,10000040,CHAdeMO DC 75kW (fast),3,3,20220402 - 221021
20,10000041,CCS DC 175kW (ultra),4,4,20220402 - 221029
21,10000041,CHAdeMO DC 75kW (fast),4,4,20220402 - 221029
22,10000042,CCS DC 175kW (ultra),0,3,20220402 - 221014
23,10000042,CHAdeMO DC 75kW (fast),0,3,20220402 - 221014
24,10000043,CCS DC 175kW (ultra),4,4,20220402 - 221019
25,10000043,CHAdeMO DC 75kW (fast),4,4,20220402 - 221019
26,10000044,CCS DC 175kW (ultra),4,4,20220402 - 221023
27,10000044,CHAdeMO DC 75kW (fast),4,4,20220402 - 221024
28,10000045,CCS DC 150kW (ultra),0,2,20220402 - 221013
29,10000045,Type 2 AC 7.36kW (regular),0,1,20220402 - 221013
30,10000047,CCS DC 175kW (ultra),4,4,20220402 - 221020
31,10000047,CHAdeMO DC 75kW (fast),4,4,20220402 - 221020
32,10000049,CCS DC 175kW (ultra),4,4,20220402 - 221025
33,10000049,CHAdeMO DC 75kW (fast),4,4,20220402 - 221025
34,10000086,CCS DC 175kW (ultra),4,4,20220402 - 221023
35,10000086,CHAdeMO DC 175kW (ultra),4,4,20220402 - 221024
36,10000086,CCS DC 175kW (ultra),4,4,20220402 - 221023
37,10000086,CHAdeMO DC 175kW (ultra),4,4,20220402 - 221024
38,10000257,CCS DC 175kW (ultra),1,1,20220402 - 221030
39,10000257,CHAdeMO DC 75kW (fast),1,1,20220402 - 221030
