,Id,Charger_type,Available,Total,timestamp
0,11514,CCS DC 150kW (ultra),2,4,20220402 - 130014
1,12320,CCS DC 150kW (ultra),0,4,20220402 - 130018
2,12949,CCS DC 150kW (ultra),4,16,20220402 - 130025
3,12950,CCS DC 150kW (ultra),6,8,20220402 - 130013
4,10000034,CCS DC 175kW (ultra),0,2,20220402 - 130018
5,10000034,CHAdeMO DC 75kW (fast),0,1,20220402 - 130018
6,10000034,CHAdeMO DC 175kW (ultra),0,1,20220402 - 130018
7,10000035,CCS DC 270kW (ultra),1,7,20220402 - 130025
8,10000035,CHAdeMO DC 62.5kW (fast),1,4,20220402 - 130025
9,10000035,Type 2 AC 7.36kW (regular),0,1,20220402 - 130026
10,10000036,CCS DC 175kW (ultra),1,4,20220402 - 130013
11,10000036,CHAdeMO DC 75kW (fast),1,4,20220402 - 130014
12,10000037,CCS DC 175kW (ultra),0,2,20220402 - 130018
13,10000037,CHAdeMO DC 75kW (fast),0,2,20220402 - 130018
14,10000038,CCS DC 175kW (ultra),1,2,20220402 - 130025
15,10000038,CHAdeMO DC 75kW (fast),1,2,20220402 - 130025
16,10000039,CCS DC 175kW (ultra),2,4,20220402 - 130014
17,10000039,CHAdeMO DC 75kW (fast),2,4,20220402 - 130015
18,10000040,CCS DC 175kW (ultra),3,3,20220402 - 130021
19,10000040,CHAdeMO DC 75kW (fast),3,3,20220402 - 130022
20,10000041,CCS DC 175kW (ultra),4,4,20220402 - 130028
21,10000041,CHAdeMO DC 75kW (fast),4,4,20220402 - 130028
22,10000042,CCS DC 175kW (ultra),2,3,20220402 - 130012
23,10000042,CHAdeMO DC 75kW (fast),2,3,20220402 - 130012
24,10000043,CCS DC 175kW (ultra),3,4,20220402 - 130017
25,10000043,CHAdeMO DC 75kW (fast),3,4,20220402 - 130017
26,10000044,CCS DC 175kW (ultra),2,4,20220402 - 130025
27,10000044,CHAdeMO DC 75kW (fast),2,4,20220402 - 130025
28,10000045,,,,20220402 - 130025
29,10000047,CCS DC 175kW (ultra),3,4,20220402 - 130025
30,10000047,CHAdeMO DC 75kW (fast),3,4,20220402 - 130025
31,10000049,CCS DC 175kW (ultra),3,4,20220402 - 130028
32,10000049,CHAdeMO DC 75kW (fast),3,4,20220402 - 130029
33,10000086,CCS DC 175kW (ultra),4,4,20220402 - 130018
34,10000086,CHAdeMO DC 175kW (ultra),4,4,20220402 - 130018
35,10000086,CCS DC 175kW (ultra),4,4,20220402 - 130018
36,10000086,CHAdeMO DC 175kW (ultra),4,4,20220402 - 130018
37,10000257,CCS DC 175kW (ultra),0,1,20220402 - 130025
38,10000257,CHAdeMO DC 75kW (fast),0,1,20220402 - 130025
