,Id,Charger_type,Available,Total,timestamp
0,11514,CCS DC 150kW (ultra),1,4,20220503 - 114015
1,12320,CCS DC 150kW (ultra),1,4,20220503 - 114020
2,12949,CCS DC 150kW (ultra),8,16,20220503 - 114028
3,12950,CCS DC 150kW (ultra),3,8,20220503 - 114015
4,10000034,CCS DC 175kW (ultra),1,2,20220503 - 114022
5,10000034,CHAdeMO DC 75kW (fast),0,1,20220503 - 114022
6,10000034,CHAdeMO DC 175kW (ultra),1,1,20220503 - 114022
7,10000035,CCS DC 270kW (ultra),0,6,20220503 - 114028
8,10000035,CHAdeMO DC 62.5kW (fast),1,3,20220503 - 114028
9,10000035,Type 2 AC 7.36kW (regular),0,1,20220503 - 114029
10,10000036,CCS DC 175kW (ultra),3,4,20220503 - 114015
11,10000036,CHAdeMO DC 75kW (fast),3,4,20220503 - 114015
12,10000037,CCS DC 175kW (ultra),2,2,20220503 - 114021
13,10000037,CHAdeMO DC 75kW (fast),2,2,20220503 - 114021
14,10000038,CCS DC 175kW (ultra),0,2,20220503 - 114029
15,10000038,CHAdeMO DC 75kW (fast),0,2,20220503 - 114029
16,10000039,CCS DC 175kW (ultra),4,4,20220503 - 114022
17,10000039,CHAdeMO DC 75kW (fast),4,4,20220503 - 114022
18,10000040,CCS DC 175kW (ultra),3,3,20220503 - 114031
19,10000040,CHAdeMO DC 75kW (fast),3,3,20220503 - 114031
20,10000041,CCS DC 175kW (ultra),2,3,20220503 - 114034
21,10000041,CHAdeMO DC 75kW (fast),2,3,20220503 - 114034
22,10000042,CCS DC 175kW (ultra),3,3,20220503 - 114018
23,10000042,CHAdeMO DC 75kW (fast),3,3,20220503 - 114018
24,10000043,CCS DC 175kW (ultra),4,4,20220503 - 114023
25,10000043,CHAdeMO DC 75kW (fast),4,4,20220503 - 114023
26,10000044,CCS DC 175kW (ultra),4,4,20220503 - 114028
27,10000044,CHAdeMO DC 75kW (fast),4,4,20220503 - 114029
28,10000045,CCS DC 150kW (ultra),0,2,20220503 - 114015
29,10000045,Type 2 AC 7.36kW (regular),0,1,20220503 - 114015
30,10000047,CCS DC 175kW (ultra),4,4,20220503 - 114020
31,10000047,CHAdeMO DC 75kW (fast),4,4,20220503 - 114021
32,10000049,CCS DC 175kW (ultra),4,4,20220503 - 114026
33,10000049,CHAdeMO DC 75kW (fast),4,4,20220503 - 114026
34,10000086,CCS DC 175kW (ultra),4,4,20220503 - 114023
35,10000086,CHAdeMO DC 175kW (ultra),4,4,20220503 - 114023
36,10000086,CCS DC 175kW (ultra),4,4,20220503 - 114023
37,10000086,CHAdeMO DC 175kW (ultra),4,4,20220503 - 114023
38,10000257,CCS DC 175kW (ultra),1,1,20220503 - 114029
39,10000257,CHAdeMO DC 75kW (fast),1,1,20220503 - 114030
