,Id,Charger_type,Available,Total,timestamp
0,11514,CCS DC 150kW (ultra),3,4,20220425 - 004019
1,12320,CCS DC 150kW (ultra),2,4,20220425 - 004039
2,12949,CCS DC 150kW (ultra),16,16,20220425 - 004058
3,12950,CCS DC 150kW (ultra),6,8,20220425 - 004021
4,10000034,CCS DC 175kW (ultra),2,2,20220425 - 004046
5,10000034,CHAdeMO DC 75kW (fast),1,1,20220425 - 004046
6,10000034,CHAdeMO DC 175kW (ultra),1,1,20220425 - 004047
7,10000035,CCS DC 270kW (ultra),8,8,20220425 - 004103
8,10000035,CHAdeMO DC 62.5kW (fast),4,4,20220425 - 004103
9,10000035,Type 2 AC 7.36kW (regular),0,1,20220425 - 004103
10,10000036,CCS DC 175kW (ultra),4,4,20220425 - 004020
11,10000036,CHAdeMO DC 75kW (fast),4,4,20220425 - 004021
12,10000037,CCS DC 175kW (ultra),1,2,20220425 - 004039
13,10000037,CHAdeMO DC 75kW (fast),1,2,20220425 - 004040
14,10000038,CCS DC 175kW (ultra),2,2,20220425 - 004058
15,10000038,CHAdeMO DC 75kW (fast),2,2,20220425 - 004059
16,10000039,CCS DC 175kW (ultra),4,4,20220425 - 004020
17,10000039,CHAdeMO DC 75kW (fast),4,4,20220425 - 004021
18,10000040,CCS DC 175kW (ultra),3,3,20220425 - 004039
19,10000040,CHAdeMO DC 75kW (fast),3,3,20220425 - 004040
20,10000041,CCS DC 175kW (ultra),2,3,20220425 - 004058
21,10000041,CHAdeMO DC 75kW (fast),2,3,20220425 - 004059
22,10000042,CCS DC 175kW (ultra),3,3,20220425 - 004020
23,10000042,CHAdeMO DC 75kW (fast),3,3,20220425 - 004022
24,10000043,CCS DC 175kW (ultra),4,4,20220425 - 004046
25,10000043,CHAdeMO DC 75kW (fast),4,4,20220425 - 004046
26,10000044,CCS DC 175kW (ultra),4,4,20220425 - 004103
27,10000044,CHAdeMO DC 75kW (fast),4,4,20220425 - 004103
28,10000045,CCS DC 150kW (ultra),0,2,20220425 - 004020
29,10000045,Type 2 AC 7.36kW (regular),0,1,20220425 - 004021
30,10000047,CCS DC 175kW (ultra),4,4,20220425 - 004039
31,10000047,CHAdeMO DC 75kW (fast),4,4,20220425 - 004040
32,10000049,CCS DC 175kW (ultra),4,4,20220425 - 004058
33,10000049,CHAdeMO DC 75kW (fast),4,4,20220425 - 004059
34,10000086,CCS DC 175kW (ultra),4,4,20220425 - 004046
35,10000086,CHAdeMO DC 175kW (ultra),4,4,20220425 - 004048
36,10000086,CCS DC 175kW (ultra),4,4,20220425 - 004046
37,10000086,CHAdeMO DC 175kW (ultra),4,4,20220425 - 004048
38,10000257,CCS DC 175kW (ultra),1,1,20220425 - 004104
39,10000257,CHAdeMO DC 75kW (fast),1,1,20220425 - 004104
