,Id,Charger_type,Available,Total,timestamp
0,11514,CCS DC 150kW (ultra),2,4,20220404 - 193012
1,12320,CCS DC 150kW (ultra),0,4,20220404 - 193017
2,12949,CCS DC 150kW (ultra),0,16,20220404 - 193024
3,12950,CCS DC 150kW (ultra),6,8,20220404 - 193012
4,10000034,CCS DC 175kW (ultra),2,2,20220404 - 193018
5,10000034,CHAdeMO DC 75kW (fast),1,1,20220404 - 193018
6,10000034,CHAdeMO DC 175kW (ultra),1,1,20220404 - 193018
7,10000035,CCS DC 270kW (ultra),2,7,20220404 - 193026
8,10000035,CHAdeMO DC 62.5kW (fast),2,4,20220404 - 193026
9,10000035,Type 2 AC 7.36kW (regular),0,1,20220404 - 193026
10,10000036,CCS DC 175kW (ultra),3,4,20220404 - 193013
11,10000036,CHAdeMO DC 75kW (fast),3,4,20220404 - 193013
12,10000037,CCS DC 175kW (ultra),0,2,20220404 - 193021
13,10000037,CHAdeMO DC 75kW (fast),0,2,20220404 - 193021
14,10000038,CCS DC 175kW (ultra),1,2,20220404 - 193029
15,10000038,CHAdeMO DC 75kW (fast),1,2,20220404 - 193029
16,10000039,CCS DC 175kW (ultra),4,4,20220404 - 193012
17,10000039,CHAdeMO DC 75kW (fast),4,4,20220404 - 193012
18,10000040,CCS DC 175kW (ultra),3,3,20220404 - 193018
19,10000040,CHAdeMO DC 75kW (fast),3,3,20220404 - 193019
20,10000041,CCS DC 175kW (ultra),3,4,20220404 - 193024
21,10000041,CHAdeMO DC 75kW (fast),3,4,20220404 - 193024
22,10000042,CCS DC 175kW (ultra),1,3,20220404 - 193012
23,10000042,CHAdeMO DC 75kW (fast),1,3,20220404 - 193013
24,10000043,CCS DC 175kW (ultra),4,4,20220404 - 193020
25,10000043,CHAdeMO DC 75kW (fast),4,4,20220404 - 193020
26,10000044,CCS DC 175kW (ultra),3,4,20220404 - 193025
27,10000044,CHAdeMO DC 75kW (fast),3,4,20220404 - 193025
28,10000045,CCS DC 150kW (ultra),0,2,20220404 - 193012
29,10000045,Type 2 AC 7.36kW (regular),0,1,20220404 - 193012
30,10000047,CCS DC 175kW (ultra),4,4,20220404 - 193019
31,10000047,CHAdeMO DC 75kW (fast),4,4,20220404 - 193020
32,10000049,CCS DC 175kW (ultra),3,4,20220404 - 193027
33,10000049,CHAdeMO DC 75kW (fast),3,4,20220404 - 193028
34,10000086,CCS DC 175kW (ultra),4,4,20220404 - 193018
35,10000086,CHAdeMO DC 175kW (ultra),4,4,20220404 - 193018
36,10000086,CCS DC 175kW (ultra),4,4,20220404 - 193018
37,10000086,CHAdeMO DC 175kW (ultra),4,4,20220404 - 193018
38,10000257,CCS DC 175kW (ultra),0,1,20220404 - 193024
39,10000257,CHAdeMO DC 75kW (fast),0,1,20220404 - 193024
