,Id,Charger_type,Available,Total,timestamp
0,11514,CCS DC 150kW (ultra),0,4,20220402 - 225016
1,12320,CCS DC 150kW (ultra),0,4,20220402 - 225024
2,12949,CCS DC 150kW (ultra),9,16,20220402 - 225028
3,12950,CCS DC 150kW (ultra),8,8,20220402 - 225015
4,10000034,CCS DC 175kW (ultra),2,2,20220402 - 225019
5,10000034,CHAdeMO DC 75kW (fast),1,1,20220402 - 225019
6,10000034,CHAdeMO DC 175kW (ultra),1,1,20220402 - 225019
7,10000035,CCS DC 270kW (ultra),2,7,20220402 - 225023
8,10000035,CHAdeMO DC 62.5kW (fast),0,4,20220402 - 225023
9,10000035,Type 2 AC 7.36kW (regular),0,1,20220402 - 225023
10,10000036,CCS DC 175kW (ultra),4,4,20220402 - 225016
11,10000036,CHAdeMO DC 75kW (fast),4,4,20220402 - 225016
12,10000037,CCS DC 175kW (ultra),2,2,20220402 - 225024
13,10000037,CHAdeMO DC 75kW (fast),2,2,20220402 - 225024
14,10000038,CCS DC 175kW (ultra),0,2,20220402 - 225030
15,10000038,CHAdeMO DC 75kW (fast),0,2,20220402 - 225030
16,10000039,CCS DC 175kW (ultra),3,4,20220402 - 225015
17,10000039,CHAdeMO DC 75kW (fast),3,4,20220402 - 225015
18,10000040,CCS DC 175kW (ultra),3,3,20220402 - 225020
19,10000040,CHAdeMO DC 75kW (fast),3,3,20220402 - 225020
20,10000041,CCS DC 175kW (ultra),4,4,20220402 - 225026
21,10000041,CHAdeMO DC 75kW (fast),4,4,20220402 - 225026
22,10000042,CCS DC 175kW (ultra),2,3,20220402 - 225017
23,10000042,CHAdeMO DC 75kW (fast),2,3,20220402 - 225017
24,10000043,CCS DC 175kW (ultra),3,4,20220402 - 225028
25,10000043,CHAdeMO DC 75kW (fast),3,4,20220402 - 225028
26,10000044,CCS DC 175kW (ultra),2,4,20220402 - 225032
27,10000044,CHAdeMO DC 75kW (fast),2,4,20220402 - 225032
28,10000045,CCS DC 150kW (ultra),0,2,20220402 - 225016
29,10000045,Type 2 AC 7.36kW (regular),0,1,20220402 - 225016
30,10000047,CCS DC 175kW (ultra),4,4,20220402 - 225020
31,10000047,CHAdeMO DC 75kW (fast),4,4,20220402 - 225020
32,10000049,CCS DC 175kW (ultra),4,4,20220402 - 225024
33,10000049,CHAdeMO DC 75kW (fast),4,4,20220402 - 225024
34,10000086,CCS DC 175kW (ultra),4,4,20220402 - 225022
35,10000086,CHAdeMO DC 175kW (ultra),4,4,20220402 - 225022
36,10000086,CCS DC 175kW (ultra),4,4,20220402 - 225022
37,10000086,CHAdeMO DC 175kW (ultra),4,4,20220402 - 225022
38,10000257,CCS DC 175kW (ultra),0,1,20220402 - 225027
39,10000257,CHAdeMO DC 75kW (fast),0,1,20220402 - 225027
