,Id,Charger_type,Available,Total,timestamp
0,11514,CCS DC 150kW (ultra),2,4,20220509 - 155015
1,12320,CCS DC 150kW (ultra),3,4,20220509 - 155020
2,12949,CCS DC 150kW (ultra),6,16,20220509 - 155025
3,12950,CCS DC 150kW (ultra),5,8,20220509 - 155013
4,10000034,CCS DC 175kW (ultra),0,2,20220509 - 155019
5,10000034,CHAdeMO DC 75kW (fast),0,1,20220509 - 155019
6,10000034,CHAdeMO DC 175kW (ultra),0,1,20220509 - 155019
7,10000035,CCS DC 270kW (ultra),2,8,20220509 - 155025
8,10000035,CHAdeMO DC 62.5kW (fast),2,4,20220509 - 155025
9,10000035,Type 2 AC 7.36kW (regular),0,1,20220509 - 155025
10,10000036,CCS DC 175kW (ultra),3,4,20220509 - 155014
11,10000036,CHAdeMO DC 75kW (fast),3,4,20220509 - 155014
12,10000037,CCS DC 175kW (ultra),0,2,20220509 - 155023
13,10000037,CHAdeMO DC 75kW (fast),0,2,20220509 - 155024
14,10000038,CCS DC 175kW (ultra),0,2,20220509 - 155029
15,10000038,CHAdeMO DC 75kW (fast),0,2,20220509 - 155029
16,10000039,CCS DC 175kW (ultra),3,4,20220509 - 155018
17,10000039,CHAdeMO DC 75kW (fast),3,4,20220509 - 155019
18,10000040,CCS DC 175kW (ultra),3,3,20220509 - 155025
19,10000040,CHAdeMO DC 75kW (fast),3,3,20220509 - 155025
20,10000041,CCS DC 175kW (ultra),2,3,20220509 - 155029
21,10000041,CHAdeMO DC 75kW (fast),2,3,20220509 - 155029
22,10000042,CCS DC 175kW (ultra),3,3,20220509 - 155013
23,10000042,CHAdeMO DC 75kW (fast),3,3,20220509 - 155014
24,10000043,CCS DC 175kW (ultra),4,4,20220509 - 155021
25,10000043,CHAdeMO DC 75kW (fast),4,4,20220509 - 155022
26,10000044,CCS DC 175kW (ultra),4,4,20220509 - 155032
27,10000044,CHAdeMO DC 75kW (fast),4,4,20220509 - 155032
28,10000045,CCS DC 150kW (ultra),0,2,20220509 - 155013
29,10000045,Type 2 AC 7.36kW (regular),0,1,20220509 - 155014
30,10000047,CCS DC 175kW (ultra),3,4,20220509 - 155019
31,10000047,CHAdeMO DC 75kW (fast),3,4,20220509 - 155019
32,10000049,CCS DC 175kW (ultra),4,4,20220509 - 155025
33,10000049,CHAdeMO DC 75kW (fast),4,4,20220509 - 155025
34,10000086,CCS DC 175kW (ultra),3,4,20220509 - 155019
35,10000086,CHAdeMO DC 175kW (ultra),3,4,20220509 - 155019
36,10000086,CCS DC 175kW (ultra),3,4,20220509 - 155019
37,10000086,CHAdeMO DC 175kW (ultra),3,4,20220509 - 155019
38,10000257,CCS DC 175kW (ultra),1,1,20220509 - 155025
39,10000257,CHAdeMO DC 75kW (fast),1,1,20220509 - 155025
