,Id,Charger_type,Available,Total,timestamp
0,11514,CCS DC 150kW (ultra),4,4,20220501 - 140013
1,12320,CCS DC 150kW (ultra),0,4,20220501 - 140022
2,12949,CCS DC 150kW (ultra),0,16,20220501 - 140029
3,12950,CCS DC 150kW (ultra),7,8,20220501 - 140012
4,10000034,CCS DC 175kW (ultra),1,2,20220501 - 140021
5,10000034,CHAdeMO DC 75kW (fast),1,1,20220501 - 140022
6,10000034,CHAdeMO DC 175kW (ultra),0,1,20220501 - 140022
7,10000035,CCS DC 270kW (ultra),0,8,20220501 - 140030
8,10000035,CHAdeMO DC 62.5kW (fast),2,4,20220501 - 140030
9,10000035,Type 2 AC 7.36kW (regular),0,1,20220501 - 140030
10,10000036,CCS DC 175kW (ultra),0,4,20220501 - 140013
11,10000036,CHAdeMO DC 75kW (fast),0,4,20220501 - 140013
12,10000037,CCS DC 175kW (ultra),0,2,20220501 - 140021
13,10000037,CHAdeMO DC 75kW (fast),0,2,20220501 - 140021
14,10000038,CCS DC 175kW (ultra),0,2,20220501 - 140028
15,10000038,CHAdeMO DC 75kW (fast),0,2,20220501 - 140029
16,10000039,CCS DC 175kW (ultra),4,4,20220501 - 140012
17,10000039,CHAdeMO DC 75kW (fast),4,4,20220501 - 140012
18,10000040,CCS DC 175kW (ultra),3,3,20220501 - 140023
19,10000040,CHAdeMO DC 75kW (fast),3,3,20220501 - 140024
20,10000041,CCS DC 175kW (ultra),0,3,20220501 - 140030
21,10000041,CHAdeMO DC 75kW (fast),0,3,20220501 - 140030
22,10000042,CCS DC 175kW (ultra),2,3,20220501 - 140013
23,10000042,CHAdeMO DC 75kW (fast),2,3,20220501 - 140013
24,10000043,CCS DC 175kW (ultra),2,4,20220501 - 140019
25,10000043,CHAdeMO DC 75kW (fast),2,4,20220501 - 140019
26,10000044,CCS DC 175kW (ultra),4,4,20220501 - 140024
27,10000044,CHAdeMO DC 75kW (fast),4,4,20220501 - 140024
28,10000045,CCS DC 150kW (ultra),0,2,20220501 - 140012
29,10000045,Type 2 AC 7.36kW (regular),0,1,20220501 - 140012
30,10000047,CCS DC 175kW (ultra),3,4,20220501 - 140020
31,10000047,CHAdeMO DC 75kW (fast),3,4,20220501 - 140020
32,10000049,CCS DC 175kW (ultra),4,4,20220501 - 140029
33,10000049,CHAdeMO DC 75kW (fast),4,4,20220501 - 140029
34,10000086,CCS DC 175kW (ultra),4,4,20220501 - 140019
35,10000086,CHAdeMO DC 175kW (ultra),4,4,20220501 - 140019
36,10000086,CCS DC 175kW (ultra),4,4,20220501 - 140019
37,10000086,CHAdeMO DC 175kW (ultra),4,4,20220501 - 140019
38,10000257,CCS DC 175kW (ultra),0,1,20220501 - 140025
39,10000257,CHAdeMO DC 75kW (fast),0,1,20220501 - 140025
